Id,Label,timeset,modularity_class
Q08050|FOXM1_HUMAN,,,1
Q9UNY4|TTF2_HUMAN,,,1
P49810|PSN2_HUMAN,,,6
Q16539|MK14_HUMAN,,,12
Q6PCE3|PGM2L_HUMAN,,,25
P84243|H33_HUMAN,,,1
Q9H6S0|YTDC2_HUMAN,,,10
Q9BYG3|MK67I_HUMAN,,,10
Q2TAK8|MUM1_HUMAN,,,5
P51617|IRAK1_HUMAN,,,6
Q02080|MEF2B_HUMAN,,,1
Q9UKV0|HDAC9_HUMAN,,,1
Q9P0K8|FOXJ2_HUMAN,,,1
Q9BXK1|KLF16_HUMAN,,,1
P43363|MAGAA_HUMAN,,,1
Q9H6Z9|EGLN3_HUMAN,,,6
Q9UBV2|SE1L1_HUMAN,,,5
O60936|NOL3_HUMAN,,,6
Q8TEL6|TP4AP_HUMAN,,,6
Q9NQC7|CYLD_HUMAN,,,6
P45983|MK08_HUMAN,,,12
O95429|BAG4_HUMAN,,,19
Q13490|BIRC2_HUMAN,,,6
Q13158|FADD_HUMAN,,,6
P63244|GBLP_HUMAN,,,10
Q15717|ELAV1_HUMAN,,,0
Q96SY0|VWA9_HUMAN,,,21
P78527|PRKDC_HUMAN,,,1
Q13200|PSMD2_HUMAN,,,5
P26038|MOES_HUMAN,,,25
Q13489|BIRC3_HUMAN,,,6
Q8TBA6|GOGA5_HUMAN,,,13
P13010|XRCC5_HUMAN,,,1
Q9NYQ7|CELR3_HUMAN,,,3
Q9UI42|CBPA4_HUMAN,,,3
P11217|PYGM_HUMAN,,,7
Q8WZ42|TITIN_HUMAN,,,13
P20749|BCL3_HUMAN,,,1
Q00653|NFKB2_HUMAN,,,19
Q01201|RELB_HUMAN,,,17
P29322|EPHA8_HUMAN,,,3
Q38SD2|LRRK1_HUMAN,,,3
P52803|EFNA5_HUMAN,,,3
Q15645|PCH2_HUMAN,,,20
Q14694|UBP10_HUMAN,,,4
P43246|MSH2_HUMAN,,,1
P15289|ARSA_HUMAN,,,7
O43765|SGTA_HUMAN,,,19
Q9BTM1|H2AJ_HUMAN,,,1
Q8TC57|M1AP_HUMAN,,,12
Q6BCY4|NB5R2_HUMAN,,,20
Q7L190|DPPA4_HUMAN,,,7
P02533|K1C14_HUMAN,,,0
Q9BT92|TCHP_HUMAN,,,0
P07910|HNRPC_HUMAN,,,10
P25054|APC_HUMAN,,,13
Q15628|TRADD_HUMAN,,,6
P35900|K1C20_HUMAN,,,3
Q96IX9|A26L1_HUMAN,,,3
P11836|CD20_HUMAN,,,3
Q6KB66|K2C80_HUMAN,,,3
Q99714|HCD2_HUMAN,,,25
P40939|ECHA_HUMAN,,,2
Q13148|TADBP_HUMAN,,,10
Q9NPI5|NRK2_HUMAN,,,13
Q9Y561|LRP12_HUMAN,,,13
Q9BVV7|TIM21_HUMAN,,,2
Q14197|ICT1_HUMAN,,,2
Q9Y2R0|COA3_HUMAN,,,2
Q3ZCQ8|TIM50_HUMAN,,,2
Q9BRR8|GPTC1_HUMAN,,,10
Q9BRX9|WDR83_HUMAN,,,10
P62241|RS8_HUMAN,,,10
P24394|IL4RA_HUMAN,,,3
P29350|PTN6_HUMAN,,,3
P78552|I13R1_HUMAN,,,3
Q9Y4H2|IRS2_HUMAN,,,3
O75159|SOCS5_HUMAN,,,3
Q14145|KEAP1_HUMAN,,,15
Q9BRY0|S39A3_HUMAN,,,15
P62495|ERF1_HUMAN,,,10
P10415|BCL2_HUMAN,,,6
Q9Y678|COPG1_HUMAN,,,2
P12830|CADH1_HUMAN,,,3
P06748|NPM_HUMAN,,,10
Q96TA1|NIBL1_HUMAN,,,15
Q9HBL0|TENS1_HUMAN,,,3
O15259|NPHP1_HUMAN,,,4
P17655|CAN2_HUMAN,,,25
P08138|TNR16_HUMAN,,,6
Q96PQ0|SORC2_HUMAN,,,3
Q12933|TRAF2_HUMAN,,,6
Q93045|STMN2_HUMAN,,,15
Q00994|BEX3_HUMAN,,,6
O95631|NET1_HUMAN,,,19
P43146|DCC_HUMAN,,,3
Q96CN7|ISOC1_HUMAN,,,25
P68371|TBB4B_HUMAN,,,19
Q04917|1433F_HUMAN,,,12
O00273|DFFA_HUMAN,,,25
Q96AC1|FERM2_HUMAN,,,25
P41236|IPP2_HUMAN,,,25
Q99583|MNT_HUMAN,,,1
Q96ST3|SIN3A_HUMAN,,,1
O00567|NOP56_HUMAN,,,10
P53677|AP3M2_HUMAN,,,2
Q92838|EDA_HUMAN,,,2
P08243|ASNS_HUMAN,,,25
P48637|GSHB_HUMAN,,,25
Q12931|TRAP1_HUMAN,,,25
Q9HB40|RISC_HUMAN,,,25
Q99426|TBCB_HUMAN,,,25
Q86WT6|TRI69_HUMAN,,,15
P06454|PTMA_HUMAN,,,25
P41250|SYG_HUMAN,,,15
O95433|AHSA1_HUMAN,,,10
P49588|SYAC_HUMAN,,,13
Q9NRR5|UBQL4_HUMAN,,,15
Q05048|CSTF1_HUMAN,,,13
Q99952|PTN18_HUMAN,,,3
